CADC0884,CADC0885,CADC0886,CADC0887,CADC0888,CADC0889,CADC0890,CADC0891,CADC0892,CADC0893,CADC0894,CADC0895,CADC0900,CADC0901,CADC0902,CADC1002,CADC1003,CADC1004,CADC1005,
1618705911370,x,x,x,x,x,false,0.10171178,false,0.7623069,true,0.021138178,false,0.0,0.0,0.0,x,x,x,x
1618705916557,0.0,false,0.0,false,0.0,false,0.10171178,false,0.7623069,true,0.021138178,false,0.0,0.0,0.0,0.5841676,0.050194837,-0.62158084,0.51118016
1618705921644,0.0,false,0.0,false,0.0,false,0.020770323,false,0.78484356,true,0.021138178,false,0.0,0.0,0.0,0.5841676,0.06804089,-0.6278233,0.51118016
1618705926747,0.0,false,0.0,false,0.0,false,0.020770323,false,0.78484356,true,0.021138178,false,0.0,0.0,0.0,0.5841676,0.06804089,-0.6278233,0.51118016
1618705931805,0.0,false,0.0,false,0.0,false,0.032312687,false,0.81570876,true,0.018495584,false,0.0,0.0,0.0,0.56760514,0.09026168,-0.6350127,0.5203758
1618705936846,0.0,false,0.0,false,0.0,false,0.01846223,false,0.81570876,true,0.018495584,false,0.0,0.0,0.0,0.56760514,0.09026168,-0.6350127,0.5203758
1618705941908,0.0,false,0.0,false,0.0,false,0.01846223,false,0.81570876,true,0.015853116,false,0.0,0.0,0.0,0.5540667,0.09026168,-0.63982344,0.5263358
1618705946977,0.0,false,0.0,false,0.0,false,0.025386851,false,0.83953744,true,0.015853116,false,0.0,0.0,0.0,0.5540667,0.10403293,-0.63982344,0.5263358
1618705952001,0.01646622,false,0.0,false,0.0,false,0.025386851,false,0.83953744,true,0.018495584,false,0.0,0.0,0.0,0.544057,0.10403293,-0.63982344,0.5287448
1618705957023,0.01646622,false,0.0,false,0.0,false,0.020770323,false,0.8640167,true,0.018495584,false,0.0,0.0,0.0,0.544057,0.12110778,-0.6420888,0.5287448
1618705962083,0.030191297,false,0.0,false,0.0,false,0.020770323,false,0.8640167,true,0.018495584,false,0.0,0.0,0.0,0.53015846,0.12110778,-0.6420888,0.5287448
1618705967183,0.030191297,false,0.0,false,0.0,false,0.023078524,false,0.88921887,true,0.018495584,false,0.0,0.0,0.0,0.53015846,0.13942437,-0.6486398,0.53909576
1618705972212,0.04117533,false,0.0,false,0.0,false,0.023078524,false,0.88921887,true,0.018495584,false,0.0,0.0,0.0,0.5139129,0.13942437,-0.6486398,0.53909576
1618705977233,0.04117533,false,0.0,false,0.0,false,0.020770323,false,0.9152297,true,0.018495584,false,0.0,0.0,0.0,0.5139129,0.13942437,-0.65323186,0.5455548
1618705982281,0.049416542,false,0.0,false,0.0,false,0.020770323,false,0.9152297,true,0.018495584,false,0.0,0.0,0.0,0.49698982,0.15157749,-0.65323186,0.5455548
1618705987308,0.049416542,false,0.0,false,0.0,false,0.01846223,false,0.9375965,true,0.018495584,false,0.0,0.0,0.0,0.49698982,0.15157749,-0.65323186,0.5508138
1618705992337,0.060410157,false,0.0,false,0.0,false,0.01846223,false,0.9375965,true,0.018495584,false,0.0,0.0,0.0,0.48286787,0.16547857,-0.6572792,0.5508138
1618705997380,0.060410157,false,0.0,false,0.0,false,0.01846223,false,0.9559927,true,0.021138178,false,0.0,0.0,0.0,0.48286787,0.16547857,-0.6572792,0.5508138
1618706002495,0.068660095,false,0.0,false,0.0,false,0.023078524,false,0.9559927,true,0.021138178,false,0.0,0.0,0.0,0.4673782,0.18095441,-0.6614519,0.5579378
1618706007567,0.068660095,false,0.0,false,0.0,false,0.023078524,false,0.98452514,true,0.021138178,false,0.0,0.0,0.0,0.4673782,0.18095441,-0.6614519,0.5579378
1618706012627,0.07141108,false,0.0,false,0.0,false,0.47971857,true,0.98452514,true,0.021138178,false,0.0,0.0,0.0,0.4673782,0.18095441,-0.6619306,0.5629442
1618706017736,0.07141108,false,0.0,false,0.0,false,0.47971857,true,1.0092733,true,0.015853116,false,0.0,0.0,0.0,0.45774224,0.1882151,-0.6619306,0.5629442
1618706022789,0.07141108,false,0.0,false,0.0,false,0.46934134,true,1.0092733,true,0.015853116,false,0.0,0.0,0.0,0.45774224,0.1882151,-0.6619306,0.56736934
1618706027856,0.07141108,false,0.0,false,0.0,false,0.46934134,true,1.0297954,true,0.018495584,false,0.0,0.0,0.0,0.45576403,0.18739699,-0.6594821,0.56736934
1618706032884,0.07141108,false,0.0,false,0.0,false,0.45387673,true,1.0297954,true,0.018495584,false,0.0,0.0,0.0,0.45576403,0.18739699,-0.6594821,0.56736934
1618706037902,0.07966739,false,0.0,false,0.0,false,0.45387673,true,1.0403234,true,0.021138178,false,0.0,0.0,0.0,0.45035157,0.1914821,-0.6574147,0.5740173
1618706042925,0.07966739,false,0.0,false,0.0,false,0.42835674,true,1.0403234,true,0.021138178,false,0.0,0.0,0.0,0.45035157,0.1914821,-0.6574147,0.5740173
1618706047951,0.07966739,false,0.0,false,0.0,false,0.42835674,true,1.0731125,true,0.021138178,false,0.0,0.0,0.0,0.44386637,0.1914821,-0.6555248,0.57971466
1618706053022,0.07966739,false,0.0,false,0.0,false,0.4106693,true,1.0731125,true,0.015853116,false,0.0,0.0,0.0,0.44386637,0.19662836,-0.6555248,0.57971466
1618706058059,0.08242067,false,0.0,false,0.0,false,0.4106693,true,1.0961167,true,0.015853116,false,0.0,0.0,0.0,0.43604037,0.19662836,-0.6555248,0.58520854
1618706063081,0.08242067,false,0.0,false,0.0,false,0.17629299,false,1.0961167,true,0.018495584,false,0.0,0.0,0.0,0.43604037,0.2030772,-0.65469265,0.58520854
1618706068123,0.087929145,false,0.0,false,0.0,false,0.17629299,false,1.114069,true,0.018495584,false,0.0,0.0,0.0,0.4158465,0.2030772,-0.65469265,0.58520854
1618706073150,0.087929145,false,0.0,false,0.0,false,0.016154235,false,1.114069,true,0.018495584,false,0.0,0.0,0.0,0.4158465,0.22544032,-0.65782773,0.595007
1618706078236,0.087929145,false,0.0,false,0.0,false,0.016154235,false,1.1264104,true,0.015853116,false,0.0,0.0,0.0,0.3955138,0.22544032,-0.65782773,0.595007
1618706083257,0.087929145,false,0.0,false,0.0,false,0.016154235,false,1.1264104,true,0.015853116,false,0.0,0.0,0.0,0.3955138,0.22544032,-0.65957266,0.6000907
1618706088282,0.08517459,false,0.0,false,0.0,false,0.01846223,false,1.1455479,true,0.018495584,false,0.0,0.0,0.0,0.37573692,0.23872755,-0.65957266,0.6000907
1618706093294,0.08517459,false,0.0,false,0.0,false,0.01846223,false,1.1455479,true,0.018495584,false,0.0,0.0,0.0,0.37573692,0.23872755,-0.65957266,0.6062381
1618706098309,0.09068436,false,0.0,false,0.0,false,0.016154235,false,1.1587682,true,0.015853116,false,0.0,0.0,0.0,0.37573692,0.24990119,-0.6604189,0.6062381
1618706103332,0.09068436,false,0.0,false,0.0,false,0.016154235,false,1.1587682,true,0.015853116,false,0.0,0.0,0.0,0.3553987,0.24990119,-0.6604189,0.6062381
