CADC0884,CADC0885,CADC0886,CADC0887,CADC0888,CADC0889,CADC0890,CADC0891,CADC0892,CADC0893,CADC0894,CADC0895,CADC0900,CADC0901,CADC0902,CADC1002,CADC1003,CADC1004,CADC1005,
1620290447573,0.0,false,0.0,false,x,x,0.36331815,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.89395577,x,x,x
1620290452749,0.0,false,0.0,false,1.0530589,true,0.36331815,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.8935718,0.36546257,-0.16688575,0.19893536
1620290457838,0.0,false,0.0,false,1.0530589,true,0.37817344,false,0.0,false,0.021138178,false,0.0,0.0,0.0,-0.8935718,0.35853434,-0.17723218,0.20420642
1620290462844,0.0,false,0.0,false,1.0530589,true,0.37817344,false,0.0,false,0.021138178,false,0.0,0.0,0.0,-0.8935718,0.35853434,-0.17723218,0.20420642
1620290467849,0.0,false,0.0,false,1.0530589,true,0.35592207,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.8932466,0.3476052,-0.19287568,0.20420642
1620290472854,0.0,false,0.0,false,1.0478879,true,0.35592207,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.8932466,0.3476052,-0.19287568,0.20915121
1620290477859,0.0,false,0.0,false,1.0478879,true,0.35346124,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.89287806,0.3476052,-0.19287568,0.20915121
1620290482863,0.0,false,0.0,false,1.0530589,true,0.35346124,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.89287806,0.33992007,-0.20378016,0.2143511
1620290487870,0.0,false,0.0,false,1.0530589,true,0.34364003,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.8925131,0.33992007,-0.20378016,0.2143511
1620290492908,0.0,false,0.0,false,1.0582774,true,0.34364003,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.8925131,0.33065504,-0.21457449,0.21932304
1620290497918,0.0,false,0.0,false,1.0582774,true,0.34609208,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.89246094,0.33065504,-0.21457449,0.21932304
1620290502922,0.0,false,0.0,false,1.0582774,true,0.34609208,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.89246094,0.3183468,-0.21457449,0.21932304
1620290507928,0.0,false,0.0,false,1.0582774,true,0.33874243,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.89250016,0.3183468,-0.22768453,0.22442825
1620290512949,0.0,false,0.0,false,1.0582774,true,0.33874243,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.89250016,0.3183468,-0.23737042,0.22442825
1620290517960,0.0,false,0.0,false,1.0582774,true,0.3314118,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.89205104,0.309002,-0.23737042,0.22812939
1620290522999,0.0,false,0.0,false,1.0582774,true,0.3314118,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.89205104,0.309002,-0.23737042,0.22812939
1620290528017,0.0,false,0.0,false,1.0582774,true,0.3216662,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.89187473,0.29897073,-0.24715741,0.23224695
1620290533036,0.0,false,0.0,false,1.0582774,true,0.3216662,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.89187473,0.29897073,-0.24715741,0.23224695
1620290538049,0.0,false,0.0,false,1.0582774,true,0.3216662,false,0.0,false,0.013210761,false,0.0,0.0,0.0,-0.8918608,0.2849222,-0.25908038,0.23224695
1620290543059,0.0,false,0.0,false,1.0582774,true,0.32653496,false,0.0,false,0.010568499,false,0.0,0.0,0.0,-0.8918608,0.2849222,-0.25908038,0.2372363
1620290548076,0.0,false,0.0,false,1.0635446,true,0.32653496,false,0.0,false,0.010568499,false,0.0,0.0,0.0,-0.8918608,0.2849222,-0.2675432,0.2372363
1620290553088,0.0,false,0.0,false,1.0635446,true,0.32409957,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.8917185,0.27456015,-0.2675432,0.24006277
1620290558099,0.0,false,0.0,false,1.0742319,true,0.32409957,false,0.0,false,0.015853116,false,0.0,0.0,0.0,-0.8917185,0.27456015,-0.2675432,0.24006277
1620290563104,0.0,false,0.0,false,1.0742319,true,0.3192348,false,0.0,false,0.021138178,false,0.0,0.0,0.0,-0.8910869,0.26325905,-0.2767588,0.24530967
1620290568109,0.0,false,0.0,false,1.0742319,true,0.3192348,false,0.0,false,0.021138178,false,0.0,0.0,0.0,-0.8910869,0.26325905,-0.2767588,0.24530967
1620290573115,0.0,false,0.0,false,1.0742319,true,0.31437773,false,0.0,false,0.018495584,false,0.0,0.0,0.0,-0.8907644,0.24947047,-0.28663018,0.24530967
1620290578151,0.0,false,0.0,false,1.0742319,true,0.31437773,false,0.0,false,0.018495584,false,0.0,0.0,0.0,-0.8907644,0.24947047,-0.28663018,0.2497282
1620290583176,0.0,false,0.0,false,1.0742319,true,0.3168053,false,0.0,false,0.018495584,false,0.0,0.0,0.0,-0.89096314,0.24947047,-0.29387358,0.2497282
1620290588303,0.0,false,0.0,false,1.0742319,true,0.3168053,false,0.0,false,0.021138178,false,0.0,0.0,0.0,-0.89096314,0.23738126,-0.29387358,0.25215393
1620290593319,0.0,false,0.0,false,1.0742319,true,0.3168053,false,0.0,false,0.021138178,false,0.0,0.0,0.0,-0.891016,0.23738126,-0.29387358,0.25365326
1620290598338,0.0,false,0.0,false,1.0742319,true,0.3168053,false,0.0,false,0.018495584,false,0.0,0.0,0.0,-0.891016,0.22733223,-0.30025202,0.25365326
