CADC0884,CADC0885,CADC0886,CADC0887,CADC0888,CADC0889,CADC0890,CADC0891,CADC0892,CADC0893,CADC0894,CADC0895,CADC0900,CADC0901,CADC0902,CADC1002,CADC1003,CADC1004,CADC1005,
1618694438265,0.0,false,x,x,x,x,0.0,false,0.0,false,0.18332842,false,0.0,0.0,x,x,x,x,x
1618694443414,0.0,false,0.83379495,true,0.78158873,true,0.0,false,0.0,false,0.18332842,false,0.0,0.0,0.0,-0.75192785,0.40092555,-0.4215355,0.31386587
1618694448505,0.0,false,0.83379495,true,0.7424957,true,0.0,false,0.0,false,0.20486994,false,0.0,0.0,0.0,-0.73648006,0.40092555,-0.4215355,0.33871138
1618694453526,0.0,false,0.87570864,true,0.7424957,true,0.0,false,0.0,false,0.20486994,false,0.0,0.0,0.0,-0.73648006,0.39103165,-0.43793386,0.33871138
1618694458544,0.0,false,0.87570864,true,0.7013882,true,0.0,false,0.0,false,0.23193441,false,0.0,0.0,0.0,-0.73648006,0.39103165,-0.43793386,0.33871138
1618694463550,0.0,false,0.87570864,true,0.7013882,true,0.0,false,0.0,false,0.23193441,false,0.0,0.0,0.0,-0.72140193,0.37460545,-0.45884588,0.36440748
1618694468562,0.0,false,0.87570864,true,0.6649244,true,0.0,false,0.0,false,0.25917307,false,0.0,0.0,0.0,-0.72140193,0.37460545,-0.45884588,0.36440748
1618694473575,0.0,false,0.87570864,true,0.6649244,true,0.0,false,0.0,false,0.25917307,false,0.0,0.0,0.0,-0.7110291,0.37460545,-0.47287074,0.3810436
1618694478580,0.0,false,0.87570864,true,0.62629837,true,0.0,false,0.0,false,0.2838566,false,0.0,0.0,0.0,-0.7110291,0.35974205,-0.47287074,0.3810436
1618694483606,0.0,false,0.87570864,true,0.62629837,true,0.0,false,0.0,false,0.2838566,false,0.0,0.0,0.0,-0.7022253,0.35974205,-0.47287074,0.39527693
