CADC0884,CADC0885,CADC0886,CADC0887,CADC0888,CADC0889,CADC0890,CADC0891,CADC0892,CADC0893,CADC0894,CADC0895,CADC0900,CADC0901,CADC0902,CADC1002,CADC1003,CADC1004,CADC1005,
1621367738819,x,x,x,x,x,false,0.0,false,1.2320791,true,0.13515697,false,0.0,0.0,x,x,x,x,x
1621367743865,0.0,false,0.0,false,0.0,false,0.0,false,1.2320791,true,0.13515697,false,0.0,0.0,0.0,-0.40526393,0.42429006,-0.3365673,-0.7369871
1621367748886,0.0,false,0.0,false,0.0,false,0.0,false,1.2402613,true,0.12982608,false,0.0,0.0,0.0,-0.39880377,0.42429006,-0.3365673,-0.73227
1621367753892,0.0,false,0.0,false,0.0,false,0.0,false,1.2402613,true,0.12982608,false,0.0,0.0,0.0,-0.39880377,0.42852604,-0.34871575,-0.73227
1621367758898,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2486433,true,0.12716205,false,0.0,0.0,0.0,-0.39880377,0.42852604,-0.34871575,-0.73227
1621367763903,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2486433,true,0.12716205,false,0.0,0.0,0.0,-0.39178342,0.4323025,-0.36635706,-0.7256551
1621367768908,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2486433,true,0.124498926,false,0.0,0.0,0.0,-0.39178342,0.4323025,-0.36635706,-0.7256551
1621367773913,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2572415,true,0.124498926,false,0.0,0.0,0.0,-0.38582036,0.4323025,-0.3788767,-0.72170013
1621367778922,0.0027442498,false,0.002292532,false,0.0,false,0.0,false,1.2572415,true,0.1191753,false,0.0,0.0,0.0,-0.38582036,0.43309206,-0.3788767,-0.72170013
1621367783931,0.0027442498,false,0.002292532,false,0.0,false,0.0,false,1.2402613,true,0.1191753,false,0.0,0.0,0.0,-0.38002428,0.43309206,-0.3788767,-0.7174179
1621367788941,0.0027442498,false,0.002292532,false,0.0,false,0.0069229985,false,1.2402613,true,0.1191753,false,0.0,0.0,0.0,-0.38002428,0.43461174,-0.39142606,-0.7174179
1621367793947,0.0027442498,false,0.0,false,0.0,false,0.0069229985,false,1.2402613,true,0.11651478,false,0.0,0.0,0.0,-0.37456122,0.43461174,-0.39142606,-0.7174179
1621367798962,0.0027442498,false,0.0,false,0.0,false,0.01846223,false,1.2402613,true,0.11651478,false,0.0,0.0,0.0,-0.37456122,0.4384999,-0.408417,-0.7092325
1621367803993,0.0027442498,false,0.0,false,0.0,false,0.01846223,false,1.2660737,true,0.108538084,false,0.0,0.0,0.0,-0.3684783,0.4384999,-0.408417,-0.7092325
1621367809027,0.0027442498,false,0.0,false,0.0,false,0.025386851,false,1.2660737,true,0.108538084,false,0.0,0.0,0.0,-0.3684783,0.4384999,-0.42042834,-0.7033734
1621367814047,0.0027442498,false,0.0,false,0.0,false,0.025386851,false,1.2660737,true,0.108538084,false,0.0,0.0,0.0,-0.36222398,0.44263035,-0.42042834,-0.7033734
1621367819089,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2660737,true,0.108538084,false,0.0,0.0,0.0,-0.36222398,0.44263035,-0.42042834,-0.69745857
1621367824167,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2660737,true,0.10322416,false,0.0,0.0,0.0,-0.3560724,0.44472438,-0.43305475,-0.69745857
1621367829172,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2660737,true,0.10322416,false,0.0,0.0,0.0,-0.3560724,0.44472438,-0.43305475,-0.69745857
1621367834176,0.0027442498,false,0.0,false,0.0,false,0.0,false,1.2751614,true,0.10588074,false,0.0,0.0,0.0,-0.34798357,0.44885683,-0.4497702,-0.68930537
1621367839191,0.008232832,false,0.0,false,0.0,false,0.0,false,1.2751614,true,0.10588074,false,0.0,0.0,0.0,-0.34798357,0.44885683,-0.4497702,-0.68930537
1621367844202,0.008232832,false,0.0,false,0.0,false,0.0,false,1.2845286,true,0.09791317,false,0.0,0.0,0.0,-0.34798357,0.44885683,-0.46184102,-0.68286216
1621367849208,0.008232832,false,0.0,false,0.0,false,0.0,false,1.2845286,true,0.09791317,false,0.0,0.0,0.0,-0.33843976,0.45220506,-0.46184102,-0.68286216
1621367854221,0.010977206,false,0.0,false,0.0,false,0.0,false,1.2845286,true,0.09525872,false,0.0,0.0,0.0,-0.33843976,0.45220506,-0.46184102,-0.6771983
1621367859236,0.010977206,false,0.0,false,0.0,false,0.0,false,1.2845286,true,0.09525872,false,0.0,0.0,0.0,-0.32991177,0.45493558,-0.47374544,-0.6771983
1621367864260,0.010977206,false,0.0,false,0.0,false,0.0023076497,false,1.2845286,true,0.09791317,false,0.0,0.0,0.0,-0.32991177,0.45493558,-0.47374544,-0.6771983
1621367869264,0.010977206,false,0.0,false,0.0,false,0.0023076497,false,1.2845286,true,0.09791317,false,0.0,0.0,0.0,-0.3222631,0.45902488,-0.4893733,-0.668592
