CADC0884,CADC0885,CADC0886,CADC0887,CADC0888,CADC0889,CADC0890,CADC0891,CADC0892,CADC0893,CADC0894,CADC0895,CADC0900,CADC0901,CADC0902,CADC1002,CADC1003,CADC1004,CADC1005,
1618700194840,1.1594374,x,x,x,x,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,x,x,x,x
1618700199959,1.1526273,true,0.23838189,false,0.19402753,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.45299116,0.7669097,0.15042034,0.42933986
1618700205158,1.1526273,true,0.25019535,false,0.20189366,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.44834307,0.7669097,0.15042034,0.42538625
1618700210233,1.1459202,true,0.25019535,false,0.20189366,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.44834307,0.7714719,0.15244323,0.42538625
1618700215277,1.1459202,true,0.2596718,false,0.20189366,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.44041884,0.7714719,0.15244323,0.42538625
1618700220305,1.1459202,true,0.26441893,false,0.20189366,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.44041884,0.7793051,0.15577309,0.4204485
1618700225328,1.139311,true,0.26441893,false,0.20714477,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.4331988,0.7793051,0.15577309,0.4204485
1618700230372,1.139311,true,0.26441893,false,0.20714477,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.4331988,0.7833145,0.15921837,0.4185069
1618700235406,1.126369,true,0.27631372,false,0.21240169,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.4259136,0.7833145,0.15921837,0.4185069
1618700240434,1.126369,true,0.27631372,false,0.21240169,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.4259136,0.7872503,0.15921837,0.41637114
1618700245457,1.1200284,true,0.2810828,false,0.21766455,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.41993424,0.7872503,0.16258536,0.41637114
1618700250521,1.1200284,true,0.2810828,false,0.21766455,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.41993424,0.7948453,0.16258536,0.41637114
1618700255564,1.1137697,true,0.2882488,false,0.22293356,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.41259837,0.7948453,0.1666097,0.411213
1618700260606,1.1137697,true,0.2882488,false,0.22293356,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.41259837,0.7948453,0.1666097,0.411213
1618700265622,1.1075896,true,0.29782727,false,0.22293356,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.40491652,0.79923093,0.1699692,0.4077543
1618700270643,1.1075896,true,0.29782727,false,0.22557044,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.40491652,0.79923093,0.1699692,0.4077543
1618700275685,1.1014851,true,0.30262703,false,0.22557044,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.39810616,0.8035461,0.1699692,0.40502173
1618700280776,1.1014851,true,0.30262703,false,0.23349068,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.39810616,0.8035461,0.1716008,0.40502173
1618700285829,1.0894914,true,0.31224832,false,0.23349068,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.39266217,0.810047,0.17496945,0.40502173
1618700290872,1.0894914,true,0.31224832,false,0.2387791,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.39266217,0.810047,0.17496945,0.39911744
1618700295934,1.0835967,true,0.32673678,false,0.2387791,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.39266217,0.810047,0.17682877,0.39911744
1618700300951,1.0835967,true,0.32673678,false,0.24407434,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.38528267,0.81417274,0.17682877,0.3954949
1618700305970,1.0835967,true,0.33643523,false,0.24407434,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.38528267,0.81417274,0.17682877,0.3954949
1618700311020,1.0719995,true,0.33643523,false,0.25203037,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.37920484,0.8196893,0.17718688,0.39027488
1618700316086,1.0719995,true,0.34616673,false,0.2573434,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.37920484,0.8196893,0.17718688,0.39027488
1618700321117,1.0662929,true,0.34616673,false,0.2573434,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.37231645,0.82507044,0.17929557,0.38659093
1618700326167,1.0662929,true,0.34616673,false,0.26799205,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.37231645,0.82507044,0.17929557,0.38659093
1618700331202,1.0550524,true,0.34860492,false,0.26799205,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.3645053,0.82507044,0.18147483,0.38233012
1618700336232,1.0550524,true,0.34860492,false,0.27332795,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.3645053,0.8303294,0.18147483,0.38233012
1618700341244,1.0495151,true,0.35348776,false,0.27332795,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.3576338,0.8303294,0.18147483,0.37809783
1618700346260,1.0495151,true,0.35348776,false,0.27332795,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.3576338,0.8348204,0.18237627,0.37809783
1618700351313,1.0332139,true,0.35348776,false,0.2786719,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.3495685,0.8348204,0.18237627,0.37809783
1618700356386,1.0332139,true,0.35348776,false,0.2786719,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.3495685,0.8413198,0.18434402,0.3716123
1618700361455,1.0332139,true,0.35593247,false,0.2867032,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.34371942,0.8413198,0.18434402,0.3716123
1618700366529,1.0332139,true,0.35593247,false,0.2867032,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.34371942,0.8413198,0.18603963,0.36774343
1618700371546,1.0225899,true,0.3608286,false,0.29744133,false,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.33616185,0.84558386,0.18603963,0.36774343
1618700376575,1.0225899,true,0.3608286,false,0.29744133,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.33616185,0.84558386,0.18603963,0.3627459
1618700381589,1.0069914,true,0.3657338,false,0.30821493,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.33616185,0.8504807,0.18874466,0.3627459
1618700386612,1.0069914,true,0.3657338,false,0.30821493,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.31225526,0.8504807,0.18874466,0.3627459
1618700391634,1.0069914,true,0.37310895,false,0.32173428,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.31225526,0.86668074,0.16594777,0.35184
1618700396738,0.9968031,true,0.37310895,false,0.32173428,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.31180537,0.86668074,0.16594777,0.35184
1618700401767,0.9968031,true,0.37803757,false,0.33259365,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.31180537,0.86668074,0.12419075,0.33809778
1618700406794,0.99176866,true,0.37803757,false,0.33259365,false,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.28202072,0.8861782,0.12419075,0.33809778
1618700411824,0.99176866,true,0.37803757,true,0.3380386,false,0.0023076497,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.28202072,0.8861782,0.12419075,0.322733
1618700416842,0.9818143,true,0.38297585,true,0.3380386,false,0.0023076497,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.267766,0.90362984,0.07427798,0.322733
1618700421860,0.9818143,true,0.38297585,true,0.35169703,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.267766,0.90362984,0.07427798,0.322733
1618700426909,0.9720062,true,0.39040172,true,0.35169703,false,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.2619285,0.9123488,0.05386449,0.31080738
1618700431936,0.9720062,true,0.39040172,true,0.35169703,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.2619285,0.9123488,0.05386449,0.31080738
1618700436960,0.95755255,true,0.39536494,true,0.35992494,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.25633514,0.9123488,0.05385873,0.30630425
1618700441984,0.95755255,true,0.39536494,true,0.35992494,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.25633514,0.9153055,0.05385873,0.30630425
1618700447008,0.95280015,true,0.40282917,true,0.37093535,false,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.2517288,0.9153055,0.05385873,0.30334574
1618700452027,0.95280015,true,0.40282917,true,0.37093535,false,0.0,false,0.010748716,false,0.0,false,0.0,0.0,0.0,0.2517288,0.9174984,0.056081355,0.30334574
1618700457073,0.93873,true,0.4253673,true,0.38476512,true,0.0,false,0.010748716,false,0.0,false,0.0,0.0,0.0,0.24708973,0.9174984,0.056081355,0.30334574
1618700462092,0.93873,true,0.4253673,true,0.38476512,true,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.24708973,0.9148173,0.028338993,0.32047817
1618700467135,0.92492515,true,0.40282917,true,0.3958849,true,0.0,false,0.0053742807,false,0.0,false,0.0,0.0,0.0,0.24708973,0.9148173,0.028338993,0.32047817
1618700472179,0.92492515,true,0.40282917,true,0.3958849,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.24040402,0.9148173,0.018339055,0.32547197
1618700477237,0.92492515,true,0.4128186,true,0.40985784,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.24040402,0.9146327,0.018339055,0.32547197
1618700482258,0.9158608,true,0.4128186,true,0.40985784,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.23438424,0.9146327,0.018339055,0.32672366
1618700487277,0.9158608,true,0.4128186,true,0.4182823,true,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.23438424,0.916127,0.011041408,0.32672366
1618700492314,0.90690225,true,0.4128186,true,0.4182823,true,0.0,false,0.0080614695,false,0.0,false,0.0,0.0,0.0,0.2275198,0.916127,0.011041408,0.32672366
1618700497332,0.90690225,true,0.4128186,true,0.42956436,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.2275198,0.919533,0.0047378573,0.3236222
1618700502345,0.8936533,true,0.41532275,true,0.42956436,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.22146237,0.919533,0.0047378573,0.3236222
1618700507361,0.8936533,true,0.41532275,true,0.44090503,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.22146237,0.919533,0.0019375172,0.32070956
1618700512379,0.8806191,true,0.40781853,true,0.44090503,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.21383496,0.9221144,0.0019375172,0.32070956
1618700517403,0.8806191,true,0.40781853,true,0.44090503,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.21383496,0.9221144,0.0019375172,0.3176109
1618700522421,0.8677876,true,0.42788553,true,0.4551669,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.20544116,0.9250324,3.067311E-4,0.3176109
1618700527448,0.8677876,true,0.42788553,true,0.4551669,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.20544116,0.9250324,3.067311E-4,0.3176109
1618700532462,0.8551475,true,0.4304067,true,0.46664843,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.19840807,0.93001026,-0.0038940986,0.3098452
1618700537483,0.8551475,true,0.4304067,true,0.46664843,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.19840807,0.93001026,-0.0038940986,0.3098452
1618700542500,0.850975,true,0.43798774,true,0.4781967,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.18984659,0.93001026,-0.008333809,0.30471495
1618700547549,0.850975,true,0.43798774,true,0.4781967,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.18984659,0.93345606,-0.008333809,0.30471495
1618700552572,0.83857423,true,0.4532317,true,0.4927302,true,0.0,false,0.0,false,0.0,false,0.0,0.0,0.0,0.18984659,0.93345606,-0.008333809,0.30000818
1618700557675,0.83857423,true,0.4532317,true,0.4927302,true,0.0,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.17830694,0.93690526,-0.01290333,0.30000818
1618700562693,0.83857423,true,0.4814796,true,0.5015048,true,0.0023076497,false,0.0026871306,false,0.0,false,0.0,0.0,0.0,0.17830694,0.93690526,-0.01290333,0.30000818
1618700567707,0.8304015,true,0.4814796,true,0.5015048,true,0.0023076497,false,0.0,false,0.0,false,0.0,0.0,0.0,0.17007537,0.9413286,-0.022698868,0.29236227
