TS,PD1,PD2,PD3,PD4,PD5,PD6,Target
1618594040820,0.69,0,0.71,0.42,0,0,1
1618594045823,0.69,0,0.69,0.42,0,0,1
1618594050831,0.71,0,0.69,0.42,0,0,1
1618594055841,0.71,0,0.67,0.42,0,0,1
1618594060852,0.72,0,0.67,0.42,0,0,1
1618594065868,0.72,0,0.66,0.4,0,0,1
1618594070888,0.75,0,0.66,0.4,0,0,1
1618594075895,0.75,0,0.64,0.34,0,0,1
1618594080905,0.75,0.01,0.64,0.34,0,0,1
1618594085921,0.76,0.01,0.64,0.39,0,0,1
1618594090929,0.76,0.01,0.64,0.39,0,0,1
1618594095933,0.78,0,0.63,0.39,0,0,1
1618594100937,0.78,0,0.63,0.39,0,0,1
1618594105944,0.79,0.01,0.62,0.37,0,0,1
1618594110956,0.79,0.01,0.62,0.37,0,0,1
1618594115960,0.8,0,0.61,0.37,0,0,1
1618594120981,0.8,0,0.61,0.37,0,0,1
1618594125985,0.81,0.01,0.61,0.36,0,0,1
1618594130989,0.81,0.01,0.59,0.36,0,0,1
1618594135995,0.83,0.01,0.59,0.36,0,0,1
1618594141004,0.83,0.01,0.59,0.36,0,0,1
1618594146029,0.83,0.01,0.59,0.36,0,0,1
1618594151034,0.83,0.01,0.58,0.37,0,0,1
1618594156039,0.85,0.01,0.58,0.37,0,0,1
1618594161057,0.85,0.01,0.57,0.36,0,0,1
1618594166061,0.85,0.01,0.57,0.36,0,0,1
1618594171065,0.86,0.01,0.57,0.35,0,0,1
1618594176068,0.86,0.01,0.57,0.35,0,0,1
1618594181092,0.86,0.01,0.57,0.35,0,0,1
1618594186096,0.86,0.01,0.57,0.35,0,0,1
1618594191099,0.88,0.01,0.56,0.33,0,0,1
1618594196103,0.88,0.01,0.56,0.33,0,0,1
1618594201106,0.88,0.01,0.56,0.32,0,0,1
1618594206110,0.88,0.01,0.56,0.32,0,0,1
1618594211115,0.89,0.01,0.56,0.31,0,0,1
1618594216119,0.89,0.01,0.56,0.31,0,0,1
1618594221134,0.89,0.01,0.56,0.3,0,0,1
1618594226138,0.89,0.01,0.56,0.3,0,0,1
1618594231143,0.89,0.01,0.56,0.3,0,0,1
1618594236150,0.89,0.01,0.56,0.27,0,0,1
1618594241153,0.89,0.01,0.56,0.27,0,0,1
1618594246161,0.89,0.01,0.56,0.26,0,0,1
1618594251171,0.89,0.01,0.56,0.26,0,0,1
1618594256179,0.9,0.01,0.5,0.26,0,0,1
1618594261183,0.9,0.01,0.5,0.26,0,0,1
1618594266187,0.89,0.01,0.33,0.25,0,0,1
1618594271191,0.89,0.01,0.33,0.25,0,0,1
1618594276199,0.89,0.01,0.28,0.24,0,0,1
1618594281213,0.89,0.01,0.28,0.24,0,0,1
1618594286225,0.89,0.01,0.52,0.23,0,0,1
1618594291229,0.89,0.01,0.52,0.23,0,0,1
1618594296234,0.89,0.01,0.52,0.23,0,0,1
1618594301238,0.89,0.01,0.58,0.23,0,0,1
1618594306251,0.88,0.02,0.58,0.22,0,0,1
1618594311261,0.88,0.02,0.59,0.22,0,0,1
1618594316274,0.88,0.02,0.59,0.22,0,0,1
1618594321278,0.88,0.02,0.59,0.2,0,0,1
1618594326284,0.88,0.02,0.59,0.2,0,0,1
1618594331290,0.88,0.02,0.6,0.2,0,0,1
1618594336301,0.88,0.02,0.6,0.2,0,0,1
1618594341305,0.87,0.02,0.61,0.19,0,0,1
1618594346312,0.87,0.02,0.61,0.19,0,0,1
1618594351324,0.87,0.02,0.62,0.2,0,0,1
1618594356332,0.87,0.02,0.62,0.2,0,0,1
1618594361373,0.86,0.02,0.63,0.17,0,0,1
1618594366377,0.86,0.02,0.63,0.17,0,0,1
1618594371383,0.85,0.02,0.64,0.16,0,0,1
1618594376400,0.85,0.02,0.64,0.16,0,0,1
1618594381412,0.84,0.02,0.64,0.15,0,0,1
1618594386416,0.84,0.02,0.65,0.15,0,0,1
1618594391423,0.83,0.02,0.65,0.14,0,0,1
1618594396428,0.83,0.02,0.66,0.14,0,0,1
1618594401438,0.81,0.02,0.66,0.14,0,0,1
1618594406442,0.81,0.02,0.67,0.14,0,0,1
1618594411446,0.8,0.02,0.67,0.14,0,0,1
1618594416464,0.8,0.02,0.69,0.14,0,0,1
1618594421471,0.8,0.02,0.69,0.14,0,0,1
1618594426481,0.79,0.02,0.7,0.13,0,0,1
1618594431488,0.79,0.02,0.7,0.13,0,0,1
1618594436502,0.78,0.02,0.71,0.13,0,0,1
1618594441543,0.78,0.02,0.73,0.13,0,0,1
1618594446562,0.76,0.02,0.73,0.13,0,0,1
1618594451571,0.76,0.02,0.73,0.13,0,0,1
1618594456582,0.74,0.02,0.74,0.13,0,0,1
1618594461608,0.74,0.02,0.74,0.13,0,0,1
1618594466617,0.73,0.02,0.75,0.13,0,0,1
1618594471622,0.73,0.02,0.75,0.13,0,0,1
1618594476631,0.71,0.02,0.77,0.13,0,0,1
1618594481635,0.71,0.02,0.77,0.13,0,0,1
1618594486639,0.69,0.02,0.78,0.13,0,0,1
1618594491642,0.69,0.02,0.78,0.13,0,0,1
1618594496646,0.68,0.02,0.8,0.13,0,0,1
1618594501650,0.68,0.02,0.8,0.13,0,0,1
1618594506653,0.68,0.02,0.81,0.13,0,0,1
1618594511657,0.66,0.02,0.81,0.13,0,0,1
1618594516661,0.66,0.02,0.83,0.13,0,0,1
1618594521664,0.64,0.02,0.83,0.13,0,0,1
1618594526668,0.64,0.02,0.84,0.13,0,0,1
1618594531674,0.62,0.02,0.84,0.14,0,0,1
1618594536677,0.62,0.02,0.84,0.14,0,0,1
1618594541681,0.61,0.02,0.85,0.15,0,0,1
1618594546685,0.61,0.02,0.85,0.15,0,0,1
1618594551688,0.6,0.02,0.32,0.16,0,0,1
1618594556692,0.6,0.02,0.32,0.16,0,0,1
1618594561701,0.58,0.02,0.82,0.18,0,0,1
1618594566708,0.58,0.02,0.82,0.18,0,0,1
1618594571711,0.56,0.02,0.89,0.18,0,0,1
1618594576715,0.56,0.02,0.89,0.21,0,0,1
1618594581719,0.55,0.01,0.89,0.21,0,0,1
1618594586722,0.55,0.01,0.89,0.23,0,0,1
1618594591726,0.55,0.01,0.9,0.23,0,0,1
1618594596731,0.53,0.01,0.9,0.26,0,0,1
1618594601734,0.53,0.01,0.9,0.26,0,0,1
1618594606738,0.52,0.01,0.9,0.28,0,0,1
1618594611742,0.52,0.01,0.9,0.28,0,0,1
1618594616746,0.5,0.01,0.9,0.32,0,0,1
1618594621749,0.5,0.01,0.9,0.32,0,0,1
1618594626759,0.49,0.01,0.9,0.35,0,0,1
1618594631763,0.49,0.01,0.9,0.35,0,0,1
1618594636767,0.48,0.01,0.89,0.39,0,0,1
1618594641771,0.48,0.01,0.89,0.39,0,0,1
1618594646775,0.47,0.01,0.88,0.42,0,0,1
1618594651778,0.47,0.01,0.88,0.42,0,0,1
1618594656784,0.45,0,0.87,0.42,0,0,1
1618594661788,0.45,0,0.87,0.47,0,0,1
1618594666792,0.44,0,0.85,0.47,0,0,1
1618594671796,0.44,0,0.85,0.54,0,0,1
1618594676799,0.44,0,0.85,0.54,0,0,1
1618594681815,0.43,0,0.85,0.51,0,0,1
1618594686828,0.43,0,0.84,0.51,0,0,1
1618594692027,0.42,0,0.84,0.54,0,0,1
1618594697031,0.42,0,0.82,0.54,0,0,1
1618594702034,0.42,0,0.82,0.6,0,0,1
1618594707037,0.42,0,0.8,0.6,0,0,1
1618594712041,0.41,0,0.8,0.64,0,0,1
1618594717046,0.41,0,0.8,0.64,0,0,1
1618594722049,0.41,0,0.77,0.66,0,0,1
1618594727053,0.41,0,0.77,0.66,0,0,1
1618594732056,0.4,0,0.74,0.8,0,0,1
1618594737059,0.4,0,0.74,0.8,0,0,1
1618594742063,0.39,0,0.71,0.8,0,0,1
1618594747066,0.39,0,0.71,0.81,0,0,1
1618594752069,0.39,0,0.67,0.81,0,0,1
1618594757073,0.39,0,0.67,0.89,0,0,1
1618594762077,0.39,0,0.64,0.89,0,0,1
1618594767080,0.39,0,0.64,0.92,0,0,1
1618594772083,0.39,0,0.6,0.92,0,0,1
1618594777087,0.39,0,0.6,0.96,0,0,1
1618594782090,0.39,0,0.57,0.96,0,0,1
1618594787094,0.39,0,0.57,1.04,0,0,1
1618594792097,0.39,0,0.54,1.04,0,0,1
1618594797101,0.39,0,0.54,0.87,0,0,1
1618594802104,0.39,0,0.54,0.87,0,0,1
1618594807112,0.39,0,0.5,0.95,0,0,1
1618594812118,0.39,0,0.5,0.95,0,0,1
1618594817122,0.4,0,0.48,0.93,0,0,1
1618594822129,0.4,0,0.48,0.93,0,0,1
1618594827143,0.4,0,0.44,1.2,0,0,1
1618594832172,0.4,0,0.44,1.2,0,0,1
1618594837199,0.41,0,0.41,0.87,0,0,1
1618594842206,0.41,0,0.41,0.87,0,0,1
1618594847211,0.41,0,0.38,0.95,0,0,1
1618594852215,0.42,0,0.38,0.95,0,0,1
1618594857218,0.42,0,0.35,1,0,0,1
1618594862224,0.42,0,0.35,1,0,0,1
1618594867227,0.42,0,0.33,0.89,0,0,1
1618594872234,0.43,0,0.33,0.89,0,0,1
1618594877239,0.43,0,0.3,0.96,0,0,1
