4776 3
-55.413 46.894 173.746
-57.117 45.338 177.068
-57.168 45.396 179.781
-59.410 47.167 -175.936
-61.522 47.913 -167.837
-65.176 46.033 -152.363
-66.337 46.737 -148.565
-68.758 47.424 -143.872
-79.228 49.037 -136.140
-78.120 49.603 -134.149
-65.295 49.219 -137.725
-60.051 48.563 -138.646
-55.752 48.548 -140.313
-52.502 48.981 -141.328
-48.745 57.859 -130.952
-47.330 59.600 -129.902
117.035 -29.309 3.620
-15.793 63.975 -142.495
-8.033 64.137 -146.905
-29.639 66.652 -135.854
65.643 29.679 25.501
66.912 27.727 24.930
70.109 24.315 24.395
71.330 21.369 26.008
54.195 14.676 31.049
52.670 11.937 31.980
51.100 9.233 32.030
49.630 6.818 32.558
48.052 4.313 32.874
46.498 1.699 32.861
44.877 -0.870 32.659
43.069 -4.118 32.027
41.406 -6.831 31.568
39.695 -9.522 31.134
37.849 -11.905 29.733
35.910 -14.738 28.482
33.577 -17.847 26.542
31.357 -20.292 25.305
28.772 -23.033 23.227
26.303 -25.750 21.039
23.553 -27.813 18.882
20.339 -29.692 16.216
17.366 -31.878 13.816
13.374 -34.116 9.944
9.616 -35.447 6.345
5.563 -36.769 2.578
1.272 -38.142 -1.208
-2.573 -39.459 -4.840
-7.477 -41.335 -8.304
-13.678 -40.903 -13.259
-18.966 -39.869 -18.258
-24.180 -39.049 -22.250
-108.734 -22.299 -99.103
-32.275 -36.822 -31.362
-34.320 -34.237 -35.296
-38.413 -31.051 -40.048
-42.156 -27.901 -43.151
-44.854 -24.592 -45.506
-49.621 -19.611 -51.246
-53.056 -10.984 -54.363
-54.614 -6.219 -56.334
-54.278 4.370 -48.990
-70.488 21.516 -73.041
-58.392 4.791 -60.491
-60.567 10.309 -61.750
-61.589 16.089 -60.247
-61.119 20.185 -56.889
-62.375 22.821 -57.017
-63.190 23.468 -57.877
-64.881 26.070 -59.014
-69.057 27.752 -61.819
-67.122 27.988 -61.689
-69.438 39.840 -67.327
142.766 71.262 97.897
143.685 70.688 97.640
142.557 69.642 98.956
141.854 68.648 99.939
141.728 67.376 99.703
141.911 66.640 99.265
141.520 65.802 99.509
142.295 64.323 99.282
141.945 63.363 99.350
142.650 62.624 98.558
142.303 62.212 98.516
141.858 60.899 98.562
141.785 59.996 98.560
141.159 59.150 98.974
140.945 58.015 98.436
140.489 57.386 98.563
139.189 54.756 99.767
138.538 54.671 99.265
137.795 53.811 99.547
134.981 50.436 101.323
132.887 47.745 100.798
113.120 39.350 107.175
112.406 40.026 107.481
112.639 40.282 108.245
102.090 19.601 131.151
111.710 20.016 -49.771
109.460 19.949 -49.201
106.977 20.043 -49.048
106.093 19.976 -49.135
104.570 19.951 -48.800
102.631 19.930 -48.593
101.116 19.905 -48.221
94.542 19.812 -47.084
93.782 19.708 -47.355
91.703 19.570 -47.343
86.519 19.291 -46.980
85.021 18.522 -47.271
83.192 19.074 -46.858
81.852 19.001 -46.545
79.601 18.781 -46.205
78.546 18.733 -45.781
74.473 18.606 -46.341
73.329 18.441 -46.459
71.362 18.684 -48.060
70.130 15.246 -48.247
47.215 -21.571 -62.650
45.468 -27.710 -62.474
13.166 -65.995 -73.971
-25.100 -66.818 -102.553
-32.985 -61.087 -106.476
-36.032 -58.291 -107.483
-38.604 -55.287 -108.072
-61.776 -43.284 -107.386
-63.500 -40.369 -103.682
-66.414 -37.378 -98.941
-66.212 -32.913 -92.919
-74.663 -40.425 -66.894
-75.014 -41.417 -62.609
-75.026 -41.396 -60.243
-75.214 -41.670 -58.088
-75.506 -42.260 -55.985
-76.485 -42.742 -52.244
-76.714 -43.706 -49.957
-78.089 -42.201 -46.825
-79.739 -40.352 -41.832
-81.385 -39.513 -37.968
-82.762 -40.032 -35.263
-83.366 -41.321 -32.233
-84.218 -43.121 -30.275
-85.032 -44.218 -27.753
-85.901 -46.141 -24.893
-85.768 -48.073 -22.777
-85.380 -49.661 -20.275
-84.106 -51.175 -17.171
