3821 4
0.1631200 -0.1276600 0.8876380 -0.4113320
-0.0354415 0.2047330 0.6863490 -0.6969600
0.0211889 0.2013430 0.6826120 -0.7021770
0.1029160 0.1672680 0.7273420 -0.6575730
0.1414890 0.1469710 0.7366900 -0.6447230
0.1709330 0.1216820 0.7443440 -0.6339770
0.1734610 0.1066620 0.7718490 -0.6023160
0.1919780 0.0939903 0.7846540 -0.5819170
0.2196140 0.0770276 0.7901790 -0.5669680
0.2468120 0.0566233 0.7952880 -0.5508130
0.3080480 0.0112013 0.8021500 -0.5114060
0.3880510 -0.0512251 0.8069760 -0.4422470
0.5194150 -0.1119450 0.7619020 -0.3703800
0.6310260 -0.1713500 0.7076630 -0.2676920
0.7032260 -0.2681710 0.6563440 -0.0526204
0.7200300 -0.3087790 0.6191250 0.0538325
0.7242310 -0.3173960 0.6036890 0.1015330
0.7187600 -0.3387620 0.5734010 0.1995910
0.7135020 -0.3468860 0.5574540 0.2446030
0.6936190 -0.3618240 0.5456990 0.3003130
0.6739850 -0.3727830 0.5316130 0.3523700
0.6577190 -0.3791250 0.5124420 0.4013390
0.6475630 -0.3721820 0.4925820 0.4466610
0.6519690 -0.3452340 0.4704890 0.4841390
0.6424100 -0.3310120 0.4512770 0.5235350
0.6004790 -0.3477220 0.4354890 0.5734670
0.5631510 -0.3560300 0.4209050 0.6155830
0.5054050 -0.3596100 0.3828090 0.6846190
0.4619450 -0.3692990 0.3663360 0.7183470
0.4200540 -0.3730240 0.3511760 0.7490550
0.3803500 -0.3732050 0.3338980 0.7775370
0.3488170 -0.3695200 0.3173250 0.8006790
0.2854760 -0.3872010 0.2980660 0.8244610
0.2141080 -0.3902980 0.2853860 0.8487520
0.1387640 -0.3702190 0.2637860 0.8798290
0.1027330 -0.3620440 0.2542440 0.8909150
0.0659086 -0.3571080 0.2446870 0.8990320
0.0280281 -0.3489070 0.2299860 0.9080660
-0.0122192 -0.3415090 0.2202660 0.9136220
-0.0559442 -0.3373890 0.2108080 0.9157510
-0.2014110 -0.3452640 0.1697520 0.9007830
-0.2728240 -0.3311290 0.1816390 0.8848320
-0.2954740 -0.3178680 0.1884200 0.8809960
-0.3073850 -0.3095660 0.1924790 0.8789960
-0.2327870 -0.3045460 0.1816930 0.9055660
-0.2054790 -0.2994710 0.1741650 0.9152940
-0.1952560 -0.2932930 0.1694690 0.9203990
-0.1911300 -0.2881460 0.1640270 0.9238710
-0.2285110 -0.2776480 0.1622890 0.9188890
-0.2975140 -0.2691280 0.1651840 0.9009830
-0.6446060 -0.2650750 0.1638140 0.6981280
-0.6910010 -0.2682610 0.1570910 0.6525920
-0.7069200 -0.2673320 0.1531880 0.6366570
-0.7210120 -0.2632150 0.1549420 0.6219740
-0.3913350 0.3977770 0.0876966 0.8251910
-0.7482090 -0.2475280 0.1580590 0.5949210
-0.7724780 -0.2393730 0.1478590 0.5693110
-0.7987800 -0.2350720 0.1473940 0.5338220
-0.8252320 -0.2333960 0.1586040 0.4892480
