TIMESTAMP,w,x,y,z,x_euler,y_euler,z_euler,STAR_TRACKER_STATE,HD_CAMERA_STATE,OPTICAL_RX_STATE
2020-11-15 00:42:25,0.138764,-0.370219,0.263786,0.879829,-44.017208554646054,-35.3276217855937,147.40553882645028,0,1,1
2020-11-15 00:42:35,0.102733,-0.362044,0.254244,0.890915,-40.91341258118754,-36.3604164514261,152.87633882032299,1,1,1
2020-11-15 00:42:45,0.0659086,-0.357108,0.244687,0.899032,-37.91867383248052,-37.57857688653366,158.28161264701345,1,1,1
2020-11-15 00:42:55,0.0280281,-0.348907,0.229986,0.908066,-33.89783749731219,-38.3723559388138,164.35757271394544,1,1,1
2020-11-15 00:43:05,-0.0122192,-0.341509,0.220266,0.913622,-30.477451222432176,-39.006108021591864,170.51022822559017,1,1,1
2020-11-15 00:43:15,-0.0559442,-0.337389,0.210808,0.915751,-27.00705172844317,-39.90487908738914,177.02698614970646,1,1,1
2020-11-15 00:43:25,-0.11363,-0.337136,0.191226,0.914801,-21.33617303298037,-41.321402368450386,-173.9649747392401,1,1,1
2020-11-15 00:43:35,-0.201411,-0.345264,0.169752,0.900783,-13.32558582897627,-43.66147614717858,-160.15090332346477,1,1,1
2020-11-15 00:43:45,-0.211697,-0.333438,0.183676,0.900148,-14.940333666099145,-42.69180433388076,-159.39829249610727,1,1,1
2020-11-15 00:43:55,-0.234155,-0.329005,0.191025,0.894671,-14.80019755804296,-42.70015451244035,-156.4794802617031,1,1,1
2020-11-15 00:44:05,-0.272824,-0.331129,0.181639,0.884832,-11.141473981863303,-43.24333074753123,-150.15521532949555,1,1,1
2020-11-15 00:44:15,-0.295474,-0.317868,0.18842,0.880996,-11.216510583330274,-42.17726809636853,-147.25583425232676,1,1,1
2020-11-15 00:44:25,-0.307385,-0.309566,0.192479,0.878996,-11.401188654533186,-41.494310600741876,-145.78164547754844,1,1,1
2020-11-15 00:44:35,-0.278094,-0.313936,0.184117,0.888937,-11.737326261173099,-41.34123888391397,-149.6981978599139,1,1,1
