TIMESTAMP,PD3,PD6,STAR_TRACKER_STATE,HD_CAMERA_STATE,OPTICAL_RX_STATE
2020-11-23 09:51:47,0.00771257,0.732116,1,1,0
2020-11-23 09:51:52,0.00771257,0.697136,1,1,0
2020-11-23 09:51:57,0.00771257,0.67325,1,1,0
2020-11-23 09:52:02,0.00771257,0.633321,1,1,1
2020-11-23 09:52:07,0.00771257,0.591345,1,1,1
2020-11-23 09:52:22,0.00771257,0.498622,1,1,1
2020-11-23 09:52:27,0.00257083,0.456965,1,1,1
2020-11-23 09:52:32,0.00514169,0.419036,1,1,1
2020-11-23 09:52:37,0.00257083,0.381737,1,1,1
2020-11-23 09:52:42,0.00514169,0.347797,1,1,1
2020-11-23 09:52:47,0.00514169,0.303178,1,1,1
2020-11-23 09:52:52,0.00257083,0.272865,1,1,1
2020-11-23 09:52:57,0.00514169,0.237367,1,1,1
2020-11-23 09:53:12,0.00257083,0.119175,1,1,1
2020-11-23 10:58:02,0.0308549,0.121837,1,1,1
2020-11-23 10:58:07,0.033427,0.124499,1,1,1
2020-11-23 10:58:22,0.0308549,0.132491,1,1,1
2020-11-23 10:59:42,0.0205681,0.137824,1,1,1
2020-11-23 10:59:57,0.0205681,0.135157,1,1,1
2020-11-23 11:00:07,0.0179968,0.135157,1,1,1
2020-11-23 11:00:12,0.0179968,0.132491,1,1,1
2020-11-23 11:01:07,0.0102835,0.135157,1,1,1
2020-11-23 11:01:37,0.00771257,0.140492,1,1,1
2020-11-23 11:01:42,0.0102835,0.137824,1,1,1
2020-11-23 11:01:47,0.00771257,0.137824,1,1,1
2020-11-23 11:01:52,0.0102835,0.140492,1,1,1
2020-11-23 11:01:57,0.00771257,0.143161,1,1,1
2020-11-23 11:02:02,0.00771257,0.14583,1,1,1
2020-11-23 11:02:07,0.038572,0.14583,1,1,1
2020-11-23 11:02:22,0.0849396,0.151173,1,1,1
2020-11-23 11:02:27,0.110772,0.153847,1,1,1
2020-11-23 11:02:32,0.134085,0.153847,1,1,1
2020-11-23 11:02:37,0.160074,0.153847,1,1,1
2020-11-23 11:02:42,0.180944,0.156521,1,1,1
2020-11-23 11:02:47,0.204518,0.159196,1,1,1
2020-11-23 11:02:52,0.228209,0.159196,1,1,1
2020-11-23 11:02:57,0.254686,0.161873,1,1,1
2020-11-23 11:03:02,0.281347,0.161873,1,1,1
2020-11-23 11:03:07,0.302824,0.16455,1,1,1
2020-11-23 11:03:12,0.332594,0.16455,1,1,1
2020-11-23 11:03:17,0.362673,0.167229,1,1,1
2020-11-23 11:03:22,0.384765,0.169909,1,1,1
2020-11-23 11:03:27,0.409858,0.169909,1,1,1
2020-11-23 11:03:32,0.438064,0.175273,1,1,1
2020-11-23 11:03:37,0.4609,0.175273,1,1,1
2020-11-23 11:03:42,0.486903,0.177957,1,1,1
2020-11-23 11:03:47,0.507378,0.180642,1,1,1
2020-11-23 11:03:52,0.531067,0.183328,1,1,1
2020-11-23 11:03:57,0.558119,0.183328,1,1,1
2020-11-23 11:04:02,0.579478,0.183328,1,1,1
2020-11-23 11:04:07,0.604261,0.188705,1,1,1
2020-11-23 11:04:12,0.626298,0.188705,1,1,1
2020-11-23 11:04:17,0.651923,0.188705,1,1,1
2020-11-23 11:04:22,0.671475,0.191396,1,1,1
2020-11-23 11:04:27,0.698028,0.194088,1,1,1
2020-11-23 11:04:32,0.721756,0.194088,1,1,1
2020-11-23 11:04:37,0.742496,0.196781,1,1,1
2020-11-23 11:04:42,0.767203,0.196781,1,1,1
2020-11-23 11:04:47,0.785217,0.196781,1,1,1
2020-11-23 11:04:52,0.796183,0.199476,1,1,1
2020-11-23 11:04:57,0.796183,0.202172,1,1,1
2020-11-23 11:05:02,0.788859,0.20487,1,1,1
2020-11-23 11:05:07,0.781589,0.207569,1,1,1
2020-11-23 11:05:12,0.770781,0.212972,1,1,1
2020-11-23 11:05:17,0.767203,0.212972,1,1,1
2020-11-23 11:05:22,0.763638,0.218382,1,1,1
2020-11-23 11:05:27,0.760085,0.221089,1,1,1
2020-11-23 11:05:32,0.753014,0.223798,1,1,1
2020-11-23 11:05:37,0.745991,0.229221,1,1,1
2020-11-23 11:05:42,0.742496,0.229221,1,1,1
2020-11-23 11:05:47,0.735539,0.237367,1,1,1
2020-11-23 11:05:52,0.728626,0.237367,1,1,1
2020-11-23 11:05:57,0.721756,0.242808,1,1,1
2020-11-23 11:06:02,0.714927,0.242808,1,1,1
2020-11-23 11:06:07,0.711527,0.245531,1,1,1
2020-11-23 11:06:12,0.701388,0.248255,1,1,1
2020-11-23 11:06:17,0.698028,0.250982,1,1,1
2020-11-23 11:06:22,0.691335,0.25371,1,1,1
2020-11-23 11:06:27,0.688003,0.256441,1,1,1
2020-11-23 11:06:32,0.67806,0.256441,1,1,1
2020-11-23 11:06:37,0.67806,0.259173,1,1,1
2020-11-23 11:06:42,0.671475,0.259173,1,1,1
2020-11-23 11:06:47,0.664924,0.264644,1,1,1
2020-11-23 11:06:52,0.658407,0.267382,1,1,1
2020-11-23 11:06:57,0.655161,0.267382,1,1,1
2020-11-23 11:07:02,0.651923,0.270123,1,1,1
2020-11-23 11:07:07,0.645471,0.270123,1,1,1
2020-11-23 11:07:12,0.642256,0.27561,1,1,1
2020-11-23 11:07:17,0.635851,0.27561,1,1,1
2020-11-23 11:07:22,0.629475,0.278357,1,1,1
2020-11-23 11:07:27,0.626298,0.278357,1,1,1
2020-11-23 11:07:32,0.619967,0.281105,1,1,1
2020-11-23 11:07:37,0.613663,0.281105,1,1,1
2020-11-23 11:07:42,0.613663,0.283857,1,1,1
2020-11-23 11:07:47,0.604261,0.283857,1,1,1
2020-11-23 11:07:52,0.598026,0.28661,1,1,1
2020-11-23 11:07:57,0.591818,0.28661,1,1,1
2020-11-23 11:08:02,0.591818,0.289366,1,1,1
2020-11-23 11:08:07,0.522146,0.292123,1,1,1
2020-11-23 11:08:12,0.265327,0.289366,1,1,1
2020-11-23 11:08:17,0.0540137,0.28661,1,1,1
2020-11-23 11:08:22,0.0720456,0.259173,1,1,1
2020-11-23 11:08:27,0.090101,0.207569,1,1,1
2020-11-23 11:08:32,0.090101,0.151173,1,1,1
2020-11-23 11:08:37,0.0746234,0.100568,1,1,1
2020-11-23 11:08:42,0.0643151,0.0608052,1,1,1
2020-11-23 11:08:52,0.0668915,0.0211382,1,1,1
2020-11-23 11:09:07,0.0746234,0.0158531,1,1,1
2020-11-23 11:09:22,0.0797804,0.0264238,1,1,1
2020-11-23 11:09:27,0.0823597,0.0317102,1,1,1
2020-11-23 11:09:32,0.08752,0.0449304,1,1,1
2020-11-23 11:09:42,0.0978477,0.0687481,1,1,1
2020-11-23 11:09:47,0.100431,0.0793455,1,1,1
2020-11-23 11:09:52,0.103015,0.0899518,1,1,1
2020-11-23 11:09:57,0.108186,0.0979132,1,1,1
2020-11-23 11:10:02,0.108186,0.103224,1,1,1
2020-11-23 11:10:07,0.110772,0.113855,1,1,1
2020-11-23 11:10:12,0.108186,0.124499,1,1,1
2020-11-23 11:10:17,0.108186,0.132491,1,1,1
2020-11-23 11:10:22,0.110772,0.14583,1,1,1
2020-11-23 11:10:27,0.113359,0.156521,1,1,1
2020-11-23 11:10:32,0.115947,0.167229,1,1,1
2020-11-23 11:10:37,0.113359,0.183328,1,1,1
2020-11-23 11:10:42,0.110772,0.194088,1,1,1
2020-11-23 11:10:47,0.110772,0.20487,1,1,1
2020-11-23 11:10:52,0.108186,0.212972,1,1,1
2020-11-23 11:10:57,0.1056,0.223798,1,1,1
2020-11-23 11:11:02,0.103015,0.237367,1,1,1
2020-11-23 11:11:07,0.0952648,0.248255,1,1,1
2020-11-23 11:11:12,0.0926826,0.261907,1,1,1
2020-11-23 11:11:17,0.0926826,0.27561,1,1,1
2020-11-23 11:11:22,0.0849396,0.283857,1,1,1
2020-11-23 11:11:37,0.0746234,0.297646,1,1,1
2020-11-23 11:11:42,0.0720456,0.297646,1,1,1
2020-11-23 11:11:47,0.0694683,0.294883,1,1,1
2020-11-23 11:11:52,0.0617392,0.28661,1,1,1
2020-11-23 11:11:57,0.0591636,0.278357,1,1,1
2020-11-23 11:12:02,0.0591636,0.270123,1,1,1
2020-11-23 11:12:07,0.0591636,0.259173,1,1,1
2020-11-23 11:12:22,0.0565885,0.215676,1,1,1
2020-11-23 11:12:27,0.0591636,0.199476,1,1,1
2020-11-23 11:12:32,0.0591636,0.183328,1,1,1
2020-11-23 11:12:37,0.0617392,0.169909,1,1,1
2020-11-23 11:12:47,0.0643151,0.151173,1,1,1
2020-11-23 11:12:52,0.0643151,0.148501,1,1,1
2020-11-23 11:12:57,0.0643151,0.14583,1,1,1
2020-11-23 11:13:02,0.0668915,0.148501,1,1,1
2020-11-23 11:13:12,0.0668915,0.143161,1,1,1
2020-11-23 11:13:17,0.0694683,0.135157,1,1,1
2020-11-23 11:13:22,0.0694683,0.124499,1,1,1
2020-11-23 11:13:27,0.0694683,0.113855,1,1,1
2020-11-23 11:13:32,0.0772016,0.0979132,1,1,1
2020-11-23 11:13:42,0.0823597,0.0713967,1,1,1
2020-11-23 11:13:47,0.0849396,0.0581584,1,1,1
2020-11-23 11:13:52,0.0849396,0.0502205,1,1,1
2020-11-23 11:14:02,0.0952648,0.0264238,1,1,1
2020-11-23 11:14:07,0.0952648,0.0132108,1,1,1
2020-11-23 11:15:37,0.08752,0.00264208,1,1,1
2020-11-23 11:15:52,0.0772016,0.00528418,1,1,1
2020-11-23 11:15:57,0.0772016,0.0132108,1,1,1
2020-11-23 11:16:27,0.0668915,0.0237809,1,1,1
2020-11-23 11:16:42,0.0617392,0.0396415,1,1,1
2020-11-23 11:16:47,0.0617392,0.0449304,1,1,1
2020-11-23 11:16:52,0.0617392,0.0502205,1,1,1
2020-11-23 11:16:57,0.0591636,0.0555121,1,1,1
2020-11-23 11:17:02,0.0591636,0.0661,1,1,1
2020-11-23 11:17:07,0.0565885,0.0740458,1,1,1
2020-11-23 11:17:12,0.0540137,0.0793455,1,1,1
2020-11-23 11:17:17,0.0514393,0.0899518,1,1,1
2020-11-23 11:17:22,0.0514393,0.0952587,1,1,1
2020-11-23 11:17:27,0.0514393,0.113855,1,1,1
2020-11-23 11:17:37,0.0514393,0.132491,1,1,1
2020-11-23 11:17:47,0.0565885,0.167229,1,1,1
2020-11-23 11:17:52,0.0617392,0.191396,1,1,1
2020-11-23 11:17:57,0.0617392,0.218382,1,1,1
2020-11-23 11:18:02,0.0668915,0.250982,1,1,1
2020-11-23 11:18:07,0.0694683,0.283857,1,1,1
2020-11-23 11:18:12,0.0720456,0.322616,1,1,1
2020-11-23 11:18:17,0.0720456,0.356241,1,1,1
2020-11-23 11:18:22,0.0772016,0.393151,1,1,1
2020-11-23 11:18:27,0.0746234,0.424828,1,1,1
2020-11-23 11:18:32,0.0772016,0.459911,1,1,1
2020-11-23 11:18:37,0.0772016,0.495616,1,1,1
2020-11-23 11:18:42,0.0772016,0.516763,1,1,1
2020-11-23 11:18:47,0.0772016,0.541246,1,1,1
2020-11-23 11:18:52,0.0797804,0.562969,1,1,1
2020-11-23 11:18:57,0.0772016,0.578668,1,1,1
2020-11-23 11:19:02,0.0772016,0.594531,1,1,1
2020-11-23 11:19:07,0.0772016,0.607344,1,1,1
2020-11-23 11:19:12,0.0772016,0.626781,1,1,1
2020-11-23 11:19:17,0.0746234,0.646496,1,1,1
2020-11-23 11:19:22,0.0746234,0.663152,1,1,1
2020-11-23 11:19:27,0.0694683,0.67325,1,1,0
2020-11-23 11:19:32,0.0694683,0.690263,1,1,0
2020-11-23 11:19:42,0.0643151,0.697136,1,1,0
2020-11-23 11:19:52,0.0591636,0.697136,1,1,0
2020-11-23 11:19:57,0.0565885,0.700587,1,1,0
2020-11-23 11:20:02,0.0514393,0.704048,1,1,0
2020-11-23 11:20:07,0.0488653,0.711001,1,1,0
2020-11-23 11:20:12,0.0488653,0.717996,1,1,0
2020-11-23 11:20:17,0.0462915,0.72151,1,1,0
2020-11-23 11:20:22,0.0437181,0.725034,1,1,0
2020-11-23 11:20:27,0.0411449,0.732116,1,1,0
2020-11-23 11:20:32,0.038572,0.742825,1,1,0
2020-11-23 11:20:37,0.0359994,0.742825,1,1,0
2020-11-23 11:20:42,0.033427,0.750023,1,1,0
2020-11-23 11:20:52,0.0308549,0.750023,1,1,0
2020-11-23 11:20:57,0.0257112,0.750023,1,1,0
2020-11-23 11:21:07,0.0231396,0.764566,1,1,0
2020-11-23 11:21:12,0.0231396,0.775608,1,1,0
2020-11-23 11:21:17,0.0231396,0.783035,1,1,0
2020-11-23 11:21:22,0.0179968,0.794282,1,1,0
2020-11-23 11:21:27,0.0179968,0.805658,1,1,0
2020-11-23 11:21:32,0.0179968,0.813318,1,1,0
2020-11-23 11:21:37,0.0179968,0.82104,1,1,0
2020-11-23 11:21:42,0.0154256,0.832745,1,1,0
2020-11-23 11:21:47,0.0154256,0.844603,1,1,0
2020-11-23 11:21:52,0.0154256,0.852597,1,1,0
2020-11-23 11:21:57,0.0154256,0.860664,1,1,0
2020-11-23 11:22:07,0.0154256,0.877031,1,1,0
2020-11-23 11:22:12,0.0128545,0.885337,1,1,0
2020-11-23 11:22:17,0.0102835,0.889521,1,1,0
2020-11-23 11:22:22,0.00771257,0.885337,1,1,0
2020-11-23 11:22:27,0.00771257,0.881173,1,1,0
2020-11-23 11:22:32,0.00771257,0.877031,1,1,0
2020-11-23 11:22:42,0.00514169,0.844603,1,1,0
2020-11-23 11:22:52,0.00257083,0.817171,1,1,0
2020-11-23 11:23:57,0.0,0.72857,1,1,0
2020-11-23 11:27:32,0.0,0.775608,1,1,0
2020-11-23 13:40:22,0.00257083,0.0317102,1,1,1
2020-11-23 13:40:27,0.00514169,0.0449304,1,1,1
2020-11-23 13:40:37,0.0128545,0.0846475,1,1,1
2020-11-23 13:40:47,0.033427,0.153847,1,1,1
2020-11-23 13:40:52,0.0437181,0.215676,1,1,1
2020-11-23 13:40:57,0.0617392,0.292123,1,1,1
2020-11-23 13:41:02,0.08752,0.407496,1,1,1
2020-11-23 13:41:07,0.110772,0.532024,1,1,1
2020-11-23 13:41:12,0.141871,0.669875,1,1,0
2020-11-23 13:41:17,0.167892,0.817171,1,1,0
2020-11-23 13:41:22,0.194028,0.950591,1,1,0
2020-11-23 13:41:27,0.215032,1.06446,1,0,0
2020-11-23 13:41:32,0.230849,1.14696,1,0,0
2020-11-23 13:41:37,0.244074,1.2017,1,0,0
2020-11-23 13:41:42,0.257343,1.2322,1,0,0
2020-11-23 13:41:47,0.265327,1.24848,1,0,0
2020-11-23 13:41:52,0.275999,1.24848,1,0,0
2020-11-23 13:41:57,0.281347,1.24848,1,0,0
2020-11-23 13:42:02,0.289384,1.2322,1,0,0
2020-11-23 13:42:07,0.297441,1.22433,1,0,0
2020-11-23 13:42:12,0.305518,1.22433,1,0,0
2020-11-23 13:42:17,0.319026,1.21663,1,0,0
2020-11-23 13:42:22,0.327159,1.20909,1,0,0
2020-11-23 13:42:27,0.332594,1.2017,1,0,0
2020-11-23 13:42:32,0.340765,1.19444,1,0,0
2020-11-23 13:42:37,0.346226,1.18032,1,0,0
2020-11-23 13:42:42,0.354437,1.18032,1,0,0
2020-11-23 13:42:47,0.362673,1.18032,1,0,0
2020-11-23 13:42:52,0.365424,1.17343,1,0,0
2020-11-23 13:42:57,0.373695,1.16666,1,0,0
2020-11-23 13:43:02,0.379224,1.15999,1,0,0
2020-11-23 13:43:07,0.38754,1.14058,1,0,0
2020-11-23 13:43:12,0.3931,1.14696,1,0,0
2020-11-23 13:43:17,0.398673,1.14058,1,0,0
2020-11-23 13:43:22,0.407057,1.13428,1,0,0
2020-11-23 13:43:27,0.409858,1.12808,1,0,0
2020-11-23 13:43:32,0.415471,1.1159,1,0,0
2020-11-23 13:43:37,0.421097,1.1159,1,0,0
2020-11-23 13:43:42,0.426738,1.10992,1,0,0
2020-11-23 13:43:47,0.432394,1.10402,1,0,0
2020-11-23 13:43:52,0.438064,1.09241,1,0,0
2020-11-23 13:43:57,0.44375,1.09241,1,0,0
2020-11-23 13:44:02,0.44945,1.07546,1,0,0
2020-11-23 13:44:07,0.455167,1.07546,1,0,0
2020-11-23 13:44:17,0.463772,1.06446,1,0,0
2020-11-23 13:44:22,0.469529,1.05904,1,0,0
2020-11-23 13:44:32,0.478197,1.04308,1,1,0
2020-11-23 13:44:37,0.483997,1.03786,1,1,0
2020-11-23 13:44:42,0.486903,1.02754,1,1,0
2020-11-23 13:44:47,0.49273,1.02246,1,1,0
2020-11-23 13:44:52,0.49565,1.01741,1,1,0
2020-11-23 13:44:57,0.501505,1.00743,1,1,0
2020-11-23 13:45:02,0.504439,1.00251,1,1,0
2020-11-23 13:45:07,0.510322,0.992761,1,1,0
2020-11-23 13:45:12,0.51327,0.987944,1,1,0
2020-11-23 13:45:17,0.519183,0.973696,1,1,0
2020-11-23 13:45:22,0.525115,0.978412,1,1,0
2020-11-23 13:45:27,0.528088,0.964362,1,1,0
2020-11-23 13:45:32,0.537041,0.964362,1,1,0
2020-11-23 13:45:37,0.537041,0.955152,1,1,0
2020-11-23 13:45:42,0.546041,0.94606,1,1,0
